ID Loja,Valor Final
Palladium Shopping Curitiba,14284
Ribeirão Shopping,12108
Shopping SP Market,11745
Parque Dom Pedro Shopping,9104
Shopping Ibirapuera,7466
Shopping União de Osasco,6977
Passei das Águas Shopping,6014
Bourbon Shopping SP,5817
Iguatemi Esplanada,5735
Shopping Morumbi,5503
Rio Mar Shopping Fortaleza,5140
Center Shopping Uberlândia,5024
Shopping Vila Velha,4644
Shopping Center Leste Aricanduva,3231
Shopping Midway Mall,3141
Rio Mar Recife,3079
Shopping Recife,2769
Novo Shopping Ribeirão Preto,2325
Shopping Eldorado,2039
Shopping Center Interlagos,1712
Shopping Iguatemi Fortaleza,1612
Iguatemi Campinas,1606
Norte Shopping,846
Shopping Barra,628
Salvador Shopping,387
