ID Loja,Valor Final
Iguatemi Esplanada,9177
Norte Shopping,8835
Shopping Center Interlagos,8601
Bourbon Shopping SP,7988
Shopping Vila Velha,5888
Rio Mar Shopping Fortaleza,5355
Novo Shopping Ribeirão Preto,4785
Shopping Midway Mall,4784
Shopping Recife,4782
Shopping Barra,4652
Shopping Morumbi,3867
Rio Mar Recife,3729
Shopping Eldorado,3542
Shopping Iguatemi Fortaleza,3392
Iguatemi Campinas,3285
Passei das Águas Shopping,3162
Shopping Ibirapuera,3125
Palladium Shopping Curitiba,2624
Salvador Shopping,2296
Shopping SP Market,2217
Ribeirão Shopping,1997
Shopping União de Osasco,1981
Center Shopping Uberlândia,1538
Shopping Center Leste Aricanduva,1289
Parque Dom Pedro Shopping,751
