ID Loja,Valor Final
Bourbon Shopping SP,14785
Center Shopping Uberlândia,10710
Shopping União de Osasco,9901
Shopping Iguatemi Fortaleza,8010
Shopping Ibirapuera,6624
Iguatemi Campinas,6122
Novo Shopping Ribeirão Preto,5935
Norte Shopping,5774
Shopping SP Market,5121
Shopping Recife,5035
Shopping Eldorado,4742
Iguatemi Esplanada,4593
Palladium Shopping Curitiba,4290
Shopping Morumbi,4072
Parque Dom Pedro Shopping,3993
Shopping Center Leste Aricanduva,3337
Shopping Midway Mall,3325
Passei das Águas Shopping,3220
Salvador Shopping,3015
Shopping Center Interlagos,2905
Rio Mar Recife,2896
Ribeirão Shopping,2585
Shopping Barra,1949
Rio Mar Shopping Fortaleza,1531
Shopping Vila Velha,680
