ID Loja,Valor Final
Rio Mar Shopping Fortaleza,10800
Norte Shopping,9189
Shopping Iguatemi Fortaleza,8390
Shopping União de Osasco,8306
Shopping SP Market,6636
Shopping Morumbi,6475
Shopping Recife,6193
Shopping Vila Velha,5121
Novo Shopping Ribeirão Preto,4924
Salvador Shopping,4892
Center Shopping Uberlândia,4506
Shopping Midway Mall,4323
Palladium Shopping Curitiba,4194
Rio Mar Recife,3984
Iguatemi Esplanada,3968
Shopping Barra,3631
Passei das Águas Shopping,3531
Parque Dom Pedro Shopping,3386
Ribeirão Shopping,3378
Shopping Eldorado,2893
Shopping Ibirapuera,2596
Bourbon Shopping SP,1580
Shopping Center Leste Aricanduva,811
Iguatemi Campinas,467
Shopping Center Interlagos,314
