ID Loja,Valor Final
Shopping União de Osasco,10210
Parque Dom Pedro Shopping,9892
Salvador Shopping,9015
Center Shopping Uberlândia,7246
Shopping Barra,6737
Novo Shopping Ribeirão Preto,6718
Shopping Morumbi,6140
Shopping Ibirapuera,6014
Palladium Shopping Curitiba,5957
Shopping Iguatemi Fortaleza,5920
Shopping Eldorado,5354
Shopping Midway Mall,5183
Shopping Center Interlagos,5153
Shopping Vila Velha,5103
Rio Mar Shopping Fortaleza,5097
Rio Mar Recife,4695
Iguatemi Campinas,3486
Shopping Center Leste Aricanduva,3357
Bourbon Shopping SP,2996
Shopping Recife,2753
Norte Shopping,2599
Shopping SP Market,2380
Iguatemi Esplanada,1948
Ribeirão Shopping,1660
Passei das Águas Shopping,1277
