ID Loja,Valor Final
Shopping Iguatemi Fortaleza,12431
Passei das Águas Shopping,10882
Shopping Eldorado,9178
Shopping Ibirapuera,7518
Ribeirão Shopping,7074
Shopping Vila Velha,6960
Shopping SP Market,6541
Center Shopping Uberlândia,6222
Shopping Morumbi,5707
Iguatemi Campinas,5289
Bourbon Shopping SP,5062
Iguatemi Esplanada,4854
Shopping Barra,4387
Shopping Center Interlagos,3985
Rio Mar Recife,3711
Parque Dom Pedro Shopping,3697
Rio Mar Shopping Fortaleza,3653
Shopping União de Osasco,3615
Shopping Recife,3018
Palladium Shopping Curitiba,2398
Shopping Midway Mall,2307
Shopping Center Leste Aricanduva,2047
Novo Shopping Ribeirão Preto,1990
Salvador Shopping,1026
Norte Shopping,476
