ID Loja,Valor Final
Parque Dom Pedro Shopping,9807
Rio Mar Recife,9657
Passei das Águas Shopping,9035
Shopping Iguatemi Fortaleza,8362
Novo Shopping Ribeirão Preto,7571
Salvador Shopping,7101
Shopping Ibirapuera,6539
Rio Mar Shopping Fortaleza,6313
Iguatemi Campinas,6268
Norte Shopping,6078
Shopping Eldorado,5883
Shopping SP Market,4811
Shopping Center Leste Aricanduva,4670
Bourbon Shopping SP,4494
Shopping Morumbi,4479
Palladium Shopping Curitiba,4024
Shopping Barra,3279
Iguatemi Esplanada,3147
Shopping Center Interlagos,3066
Shopping União de Osasco,2900
Shopping Recife,2770
Shopping Midway Mall,2671
Shopping Vila Velha,2634
Ribeirão Shopping,2306
Center Shopping Uberlândia,2213
