ID Loja,Valor Final
Salvador Shopping,13708
Rio Mar Recife,9525
Ribeirão Shopping,8531
Shopping Midway Mall,7509
Shopping Barra,5895
Shopping Center Leste Aricanduva,5735
Shopping Ibirapuera,5554
Passei das Águas Shopping,5505
Shopping Vila Velha,5255
Shopping Eldorado,4983
Iguatemi Campinas,4509
Rio Mar Shopping Fortaleza,4486
Shopping Iguatemi Fortaleza,4041
Parque Dom Pedro Shopping,3991
Novo Shopping Ribeirão Preto,3877
Iguatemi Esplanada,3861
Norte Shopping,3588
Shopping União de Osasco,3547
Shopping Morumbi,3437
Shopping Center Interlagos,2921
Center Shopping Uberlândia,2681
Shopping Recife,2679
Shopping SP Market,2150
Bourbon Shopping SP,1358
Palladium Shopping Curitiba,1315
