ID Loja,Valor Final
Shopping Morumbi,9067
Ribeirão Shopping,7924
Shopping Vila Velha,7362
Shopping Ibirapuera,6943
Center Shopping Uberlândia,6942
Shopping Recife,6470
Rio Mar Shopping Fortaleza,6168
Bourbon Shopping SP,6104
Salvador Shopping,5168
Shopping Iguatemi Fortaleza,4666
Shopping Center Interlagos,4254
Shopping Eldorado,4121
Shopping Center Leste Aricanduva,3899
Shopping Barra,3672
Parque Dom Pedro Shopping,3181
Iguatemi Campinas,3087
Rio Mar Recife,2979
Shopping SP Market,2961
Norte Shopping,2879
Shopping União de Osasco,2077
Palladium Shopping Curitiba,2055
Passei das Águas Shopping,1655
Novo Shopping Ribeirão Preto,1306
Iguatemi Esplanada,1154
Shopping Midway Mall,325
