ID Loja,Valor Final
Shopping SP Market,15523
Ribeirão Shopping,8049
Shopping Iguatemi Fortaleza,7103
Passei das Águas Shopping,7086
Shopping Morumbi,7059
Shopping Vila Velha,6929
Salvador Shopping,6390
Center Shopping Uberlândia,6145
Rio Mar Recife,5820
Iguatemi Campinas,5675
Shopping Ibirapuera,5151
Shopping Center Interlagos,5121
Shopping Midway Mall,4952
Shopping Eldorado,4042
Shopping Barra,3852
Iguatemi Esplanada,3519
Norte Shopping,3180
Novo Shopping Ribeirão Preto,3127
Bourbon Shopping SP,2936
Rio Mar Shopping Fortaleza,2734
Shopping Center Leste Aricanduva,2688
Palladium Shopping Curitiba,2269
Parque Dom Pedro Shopping,2076
Shopping União de Osasco,1828
Shopping Recife,1354
