ID Loja,Valor Final
Shopping União de Osasco,8407
Rio Mar Shopping Fortaleza,8018
Shopping Morumbi,7602
Shopping Recife,7476
Parque Dom Pedro Shopping,6174
Shopping Vila Velha,5803
Shopping Midway Mall,5559
Salvador Shopping,5393
Palladium Shopping Curitiba,5253
Norte Shopping,5232
Shopping Iguatemi Fortaleza,5033
Shopping Eldorado,4806
Shopping Ibirapuera,4784
Shopping Center Interlagos,4452
Bourbon Shopping SP,4339
Iguatemi Campinas,3911
Shopping Center Leste Aricanduva,3723
Iguatemi Esplanada,3506
Center Shopping Uberlândia,3453
Novo Shopping Ribeirão Preto,3167
Passei das Águas Shopping,3120
Ribeirão Shopping,2935
Rio Mar Recife,2931
Shopping SP Market,2776
Shopping Barra,2708
