ID Loja,Valor Final
Shopping SP Market,9178
Iguatemi Esplanada,8537
Shopping Center Interlagos,8038
Shopping União de Osasco,6545
Salvador Shopping,6190
Shopping Center Leste Aricanduva,6170
Shopping Iguatemi Fortaleza,6036
Shopping Vila Velha,5969
Center Shopping Uberlândia,5802
Shopping Midway Mall,5625
Palladium Shopping Curitiba,5563
Rio Mar Shopping Fortaleza,5398
Iguatemi Campinas,5284
Bourbon Shopping SP,5042
Parque Dom Pedro Shopping,4990
Novo Shopping Ribeirão Preto,4425
Shopping Barra,3012
Ribeirão Shopping,2615
Shopping Ibirapuera,2403
Shopping Eldorado,2119
Passei das Águas Shopping,1997
Rio Mar Recife,1900
Shopping Recife,1741
Norte Shopping,1736
Shopping Morumbi,1613
