ID Loja,Valor Final
Shopping Morumbi,10051
Palladium Shopping Curitiba,8186
Ribeirão Shopping,7426
Norte Shopping,6424
Shopping União de Osasco,6162
Shopping Vila Velha,5842
Shopping Iguatemi Fortaleza,5616
Shopping Center Leste Aricanduva,5610
Shopping Midway Mall,5534
Shopping Center Interlagos,5524
Iguatemi Esplanada,5479
Iguatemi Campinas,5327
Shopping SP Market,5162
Center Shopping Uberlândia,5061
Novo Shopping Ribeirão Preto,4835
Rio Mar Recife,4759
Shopping Eldorado,4607
Parque Dom Pedro Shopping,4581
Passei das Águas Shopping,4424
Shopping Recife,4086
Shopping Barra,1858
Salvador Shopping,1845
Shopping Ibirapuera,1835
Bourbon Shopping SP,1804
Rio Mar Shopping Fortaleza,1200
