ID Loja,Valor Final
Shopping Ibirapuera,9988
Norte Shopping,5840
Shopping União de Osasco,5834
Shopping Midway Mall,5571
Novo Shopping Ribeirão Preto,5450
Shopping Center Leste Aricanduva,5334
Palladium Shopping Curitiba,4775
Shopping SP Market,4653
Shopping Iguatemi Fortaleza,4551
Iguatemi Esplanada,4537
Shopping Center Interlagos,4441
Ribeirão Shopping,4311
Center Shopping Uberlândia,4067
Passei das Águas Shopping,4064
Shopping Recife,3999
Shopping Barra,3975
Rio Mar Shopping Fortaleza,3946
Shopping Vila Velha,3684
Rio Mar Recife,2650
Shopping Eldorado,2647
Salvador Shopping,2480
Parque Dom Pedro Shopping,2222
Shopping Morumbi,2161
Bourbon Shopping SP,1250
