ID Loja,Valor Final
Iguatemi Campinas,8000
Salvador Shopping,7742
Shopping Morumbi,7708
Novo Shopping Ribeirão Preto,6583
Shopping Iguatemi Fortaleza,6541
Iguatemi Esplanada,5518
Ribeirão Shopping,5390
Shopping Vila Velha,4751
Shopping SP Market,4698
Rio Mar Shopping Fortaleza,4479
Shopping Center Leste Aricanduva,4448
Bourbon Shopping SP,4209
Shopping Eldorado,4149
Shopping Ibirapuera,3870
Rio Mar Recife,3683
Shopping Recife,3529
Center Shopping Uberlândia,3375
Shopping Midway Mall,3257
Palladium Shopping Curitiba,2716
Parque Dom Pedro Shopping,2526
Passei das Águas Shopping,2169
Shopping Center Interlagos,1797
Shopping Barra,1770
Norte Shopping,1435
Shopping União de Osasco,890
