ID Loja,Valor Final
Norte Shopping,10234
Shopping Midway Mall,9734
Novo Shopping Ribeirão Preto,9724
Palladium Shopping Curitiba,9374
Shopping Recife,7130
Shopping Center Leste Aricanduva,6572
Parque Dom Pedro Shopping,6314
Salvador Shopping,6138
Iguatemi Campinas,5920
Shopping Vila Velha,5689
Shopping Center Interlagos,5406
Shopping Barra,4500
Shopping Iguatemi Fortaleza,3932
Rio Mar Shopping Fortaleza,3265
Ribeirão Shopping,2924
Rio Mar Recife,2870
Shopping Eldorado,2518
Iguatemi Esplanada,2459
Passei das Águas Shopping,2100
Shopping Ibirapuera,2064
Shopping SP Market,1935
Shopping União de Osasco,1527
Shopping Morumbi,1182
Center Shopping Uberlândia,780
Bourbon Shopping SP,457
