ID Loja,Valor Final
Shopping Ibirapuera,8813
Shopping SP Market,8798
Novo Shopping Ribeirão Preto,8219
Parque Dom Pedro Shopping,7622
Center Shopping Uberlândia,7145
Palladium Shopping Curitiba,6596
Shopping Iguatemi Fortaleza,6521
Shopping União de Osasco,5913
Rio Mar Recife,5584
Shopping Barra,5194
Norte Shopping,5192
Bourbon Shopping SP,5166
Shopping Recife,4716
Iguatemi Esplanada,4604
Shopping Center Leste Aricanduva,2971
Shopping Midway Mall,2833
Shopping Center Interlagos,2269
Shopping Eldorado,2050
Ribeirão Shopping,1893
Iguatemi Campinas,1822
Rio Mar Shopping Fortaleza,1817
Salvador Shopping,1542
Shopping Vila Velha,1465
Shopping Morumbi,1293
Passei das Águas Shopping,1256
