ID Loja,Valor Final
Iguatemi Esplanada,14639
Salvador Shopping,10352
Shopping SP Market,8070
Shopping Eldorado,7808
Center Shopping Uberlândia,7217
Shopping Midway Mall,7183
Palladium Shopping Curitiba,6383
Shopping Ibirapuera,5844
Rio Mar Recife,4932
Shopping Center Interlagos,4596
Iguatemi Campinas,4222
Passei das Águas Shopping,4196
Shopping União de Osasco,4190
Shopping Morumbi,4109
Shopping Vila Velha,4043
Norte Shopping,4008
Novo Shopping Ribeirão Preto,3716
Ribeirão Shopping,3499
Bourbon Shopping SP,3110
Parque Dom Pedro Shopping,2876
Shopping Center Leste Aricanduva,2719
Shopping Recife,2529
Rio Mar Shopping Fortaleza,2126
Shopping Barra,2123
Shopping Iguatemi Fortaleza,1907
