ID Loja,Valor Final
Bourbon Shopping SP,12409
Shopping Ibirapuera,9129
Shopping Recife,8367
Salvador Shopping,7832
Palladium Shopping Curitiba,7826
Iguatemi Esplanada,7089
Iguatemi Campinas,7078
Center Shopping Uberlândia,6186
Shopping Midway Mall,6038
Ribeirão Shopping,5563
Rio Mar Recife,5413
Passei das Águas Shopping,5106
Shopping SP Market,4964
Shopping Center Leste Aricanduva,4629
Shopping Vila Velha,4482
Novo Shopping Ribeirão Preto,4170
Norte Shopping,3768
Shopping Barra,3207
Shopping Iguatemi Fortaleza,3100
Shopping Eldorado,2921
Rio Mar Shopping Fortaleza,2567
Shopping Center Interlagos,2080
Shopping União de Osasco,1895
Parque Dom Pedro Shopping,1648
Shopping Morumbi,809
