ID Loja,Valor Final
Norte Shopping,10933
Shopping Ibirapuera,9606
Salvador Shopping,9422
Shopping SP Market,8972
Shopping Center Leste Aricanduva,7648
Iguatemi Campinas,6438
Rio Mar Shopping Fortaleza,6236
Center Shopping Uberlândia,6013
Shopping União de Osasco,5763
Ribeirão Shopping,5165
Novo Shopping Ribeirão Preto,4867
Shopping Vila Velha,4719
Shopping Morumbi,4668
Shopping Recife,4221
Shopping Center Interlagos,3454
Shopping Eldorado,3285
Rio Mar Recife,3019
Bourbon Shopping SP,2907
Palladium Shopping Curitiba,2731
Shopping Barra,2091
Passei das Águas Shopping,1912
Shopping Iguatemi Fortaleza,1764
Parque Dom Pedro Shopping,1404
Iguatemi Esplanada,1273
Shopping Midway Mall,700
