ID Loja,Valor Final
Shopping Barra,9144
Shopping Iguatemi Fortaleza,8752
Shopping SP Market,8328
Shopping Vila Velha,7957
Iguatemi Campinas,6513
Shopping Center Interlagos,5890
Iguatemi Esplanada,5819
Salvador Shopping,5673
Norte Shopping,5637
Parque Dom Pedro Shopping,5113
Rio Mar Shopping Fortaleza,5073
Shopping Center Leste Aricanduva,4718
Shopping Midway Mall,4357
Passei das Águas Shopping,3936
Rio Mar Recife,3926
Shopping Eldorado,3585
Shopping União de Osasco,3312
Shopping Recife,3063
Bourbon Shopping SP,2707
Novo Shopping Ribeirão Preto,2673
Palladium Shopping Curitiba,2532
Center Shopping Uberlândia,2470
Shopping Ibirapuera,2375
Ribeirão Shopping,1059
Shopping Morumbi,543
