ID Loja,Valor Final
Novo Shopping Ribeirão Preto,9072
Shopping Center Interlagos,8868
Bourbon Shopping SP,7810
Passei das Águas Shopping,7744
Shopping Center Leste Aricanduva,7210
Ribeirão Shopping,6692
Shopping Barra,6518
Iguatemi Campinas,5472
Norte Shopping,5049
Iguatemi Esplanada,4799
Shopping União de Osasco,4523
Shopping Vila Velha,4513
Palladium Shopping Curitiba,4081
Rio Mar Recife,4066
Shopping SP Market,3944
Shopping Midway Mall,3056
Shopping Iguatemi Fortaleza,2930
Shopping Ibirapuera,2718
Shopping Recife,2181
Shopping Morumbi,2025
Rio Mar Shopping Fortaleza,1988
Shopping Eldorado,1978
Center Shopping Uberlândia,1079
Salvador Shopping,796
Parque Dom Pedro Shopping,641
