ID Loja,Valor Final
Shopping Barra,11372
Norte Shopping,11237
Shopping Recife,10262
Shopping Center Leste Aricanduva,9902
Shopping Morumbi,8998
Bourbon Shopping SP,8527
Center Shopping Uberlândia,7286
Shopping Vila Velha,5968
Shopping Midway Mall,4717
Salvador Shopping,4564
Shopping Center Interlagos,4456
Rio Mar Shopping Fortaleza,4055
Iguatemi Esplanada,4054
Palladium Shopping Curitiba,3635
Shopping Iguatemi Fortaleza,3197
Ribeirão Shopping,3171
Shopping Eldorado,2978
Novo Shopping Ribeirão Preto,2832
Shopping Ibirapuera,2698
Shopping União de Osasco,2031
Passei das Águas Shopping,1739
Rio Mar Recife,1488
Shopping SP Market,1393
Iguatemi Campinas,950
Parque Dom Pedro Shopping,547
