ID Loja,Valor Final
Shopping Morumbi,9790
Rio Mar Shopping Fortaleza,8278
Shopping Iguatemi Fortaleza,7056
Shopping Center Interlagos,7016
Shopping Ibirapuera,6705
Shopping Midway Mall,6644
Palladium Shopping Curitiba,6541
Center Shopping Uberlândia,6269
Novo Shopping Ribeirão Preto,5136
Shopping SP Market,4983
Shopping Barra,4800
Shopping Center Leste Aricanduva,4798
Passei das Águas Shopping,4378
Iguatemi Campinas,4348
Shopping União de Osasco,3585
Rio Mar Recife,3327
Iguatemi Esplanada,2963
Norte Shopping,2337
Shopping Recife,2153
Salvador Shopping,2024
Ribeirão Shopping,1853
Shopping Eldorado,1846
Shopping Vila Velha,1536
Parque Dom Pedro Shopping,580
