ID Loja,Valor Final
Shopping Recife,10101
Shopping Eldorado,8431
Novo Shopping Ribeirão Preto,8125
Norte Shopping,8094
Shopping União de Osasco,8044
Shopping Ibirapuera,7448
Shopping Vila Velha,6874
Palladium Shopping Curitiba,6697
Iguatemi Campinas,5669
Shopping Center Leste Aricanduva,5349
Shopping Center Interlagos,4567
Iguatemi Esplanada,4193
Parque Dom Pedro Shopping,4177
Shopping SP Market,3598
Bourbon Shopping SP,3302
Shopping Midway Mall,3289
Rio Mar Shopping Fortaleza,3031
Passei das Águas Shopping,2937
Shopping Morumbi,2599
Ribeirão Shopping,2538
Salvador Shopping,2339
Shopping Barra,2244
Center Shopping Uberlândia,2175
Rio Mar Recife,1885
Shopping Iguatemi Fortaleza,1573
