ID Loja,Valor Final
Shopping Midway Mall,9838
Iguatemi Campinas,9547
Novo Shopping Ribeirão Preto,8414
Norte Shopping,7766
Shopping União de Osasco,5451
Bourbon Shopping SP,5268
Shopping SP Market,4964
Parque Dom Pedro Shopping,4897
Shopping Morumbi,4881
Rio Mar Recife,4808
Shopping Vila Velha,4672
Shopping Center Leste Aricanduva,4265
Iguatemi Esplanada,3992
Palladium Shopping Curitiba,3947
Center Shopping Uberlândia,3713
Shopping Center Interlagos,3526
Shopping Barra,3323
Shopping Iguatemi Fortaleza,3144
Shopping Ibirapuera,3139
Shopping Recife,2845
Salvador Shopping,2658
Ribeirão Shopping,2584
Rio Mar Shopping Fortaleza,2566
Shopping Eldorado,2067
Passei das Águas Shopping,1336
