ID Loja,Valor Final
Shopping Eldorado,10937
Norte Shopping,10400
Shopping Morumbi,8419
Shopping Barra,7987
Palladium Shopping Curitiba,7220
Bourbon Shopping SP,7200
Shopping União de Osasco,7065
Novo Shopping Ribeirão Preto,6207
Iguatemi Esplanada,5210
Iguatemi Campinas,5082
Shopping Center Interlagos,5026
Parque Dom Pedro Shopping,4898
Shopping Center Leste Aricanduva,4725
Shopping Ibirapuera,4626
Shopping Vila Velha,3711
Rio Mar Shopping Fortaleza,3606
Rio Mar Recife,3511
Salvador Shopping,3283
Shopping SP Market,2364
Shopping Iguatemi Fortaleza,2257
Ribeirão Shopping,2192
Shopping Midway Mall,2158
Center Shopping Uberlândia,2050
Shopping Recife,1915
Passei das Águas Shopping,1281
