ID Loja,Valor Final
Shopping União de Osasco,15229
Parque Dom Pedro Shopping,10170
Shopping Center Leste Aricanduva,9026
Ribeirão Shopping,7695
Rio Mar Recife,6733
Rio Mar Shopping Fortaleza,6125
Shopping Recife,5290
Shopping Eldorado,4936
Shopping Ibirapuera,4924
Palladium Shopping Curitiba,4902
Salvador Shopping,4507
Shopping Morumbi,4477
Norte Shopping,4377
Shopping Iguatemi Fortaleza,4024
Shopping Midway Mall,3905
Shopping Center Interlagos,3671
Iguatemi Esplanada,3242
Bourbon Shopping SP,3184
Center Shopping Uberlândia,2973
Shopping SP Market,2903
Iguatemi Campinas,2575
Shopping Barra,2557
Passei das Águas Shopping,2128
Shopping Vila Velha,1813
Novo Shopping Ribeirão Preto,1707
