ID Loja,Valor Final
Rio Mar Recife,10943
Shopping Barra,9834
Shopping Iguatemi Fortaleza,9726
Center Shopping Uberlândia,9102
Shopping Center Leste Aricanduva,8769
Shopping Morumbi,8325
Rio Mar Shopping Fortaleza,8320
Novo Shopping Ribeirão Preto,7883
Salvador Shopping,7723
Shopping Eldorado,7708
Parque Dom Pedro Shopping,6105
Bourbon Shopping SP,6012
Shopping Recife,5878
Shopping Ibirapuera,4577
Shopping SP Market,3784
Ribeirão Shopping,2754
Norte Shopping,2545
Shopping Midway Mall,2382
Shopping União de Osasco,2319
Shopping Center Interlagos,1910
Iguatemi Campinas,1691
Palladium Shopping Curitiba,1576
Passei das Águas Shopping,1018
Shopping Vila Velha,947
Iguatemi Esplanada,825
