ID Loja,Valor Final
Norte Shopping,11010
Shopping Morumbi,9275
Passei das Águas Shopping,8921
Bourbon Shopping SP,8371
Shopping SP Market,7441
Novo Shopping Ribeirão Preto,7418
Ribeirão Shopping,6336
Shopping Iguatemi Fortaleza,6054
Rio Mar Recife,4730
Shopping Recife,4642
Rio Mar Shopping Fortaleza,4316
Shopping Barra,3787
Shopping Eldorado,3766
Parque Dom Pedro Shopping,3302
Shopping Center Interlagos,3020
Center Shopping Uberlândia,2952
Shopping Ibirapuera,2618
Iguatemi Campinas,2294
Shopping Vila Velha,2196
Iguatemi Esplanada,2181
Shopping Center Leste Aricanduva,2002
Shopping União de Osasco,1723
Shopping Midway Mall,990
Palladium Shopping Curitiba,892
Salvador Shopping,800
