ID Loja,Valor Final
Salvador Shopping,9589
Shopping SP Market,8823
Norte Shopping,7542
Shopping Ibirapuera,7268
Iguatemi Esplanada,6720
Center Shopping Uberlândia,6538
Shopping Iguatemi Fortaleza,6378
Rio Mar Shopping Fortaleza,6213
Shopping Center Leste Aricanduva,5700
Shopping Eldorado,5121
Bourbon Shopping SP,4648
Shopping União de Osasco,4438
Shopping Recife,4235
Novo Shopping Ribeirão Preto,4048
Shopping Barra,3969
Iguatemi Campinas,3785
Rio Mar Recife,3676
Shopping Center Interlagos,3577
Parque Dom Pedro Shopping,3321
Shopping Morumbi,2903
Ribeirão Shopping,2563
Palladium Shopping Curitiba,1752
Shopping Vila Velha,1546
Shopping Midway Mall,1174
Passei das Águas Shopping,1031
