ID Loja,Valor Final
Rio Mar Recife,12527
Iguatemi Esplanada,10804
Center Shopping Uberlândia,9639
Shopping Vila Velha,8981
Palladium Shopping Curitiba,7880
Shopping SP Market,7783
Shopping União de Osasco,7096
Rio Mar Shopping Fortaleza,6876
Shopping Center Leste Aricanduva,6722
Shopping Barra,6660
Parque Dom Pedro Shopping,6330
Shopping Eldorado,5384
Salvador Shopping,5202
Shopping Recife,4526
Iguatemi Campinas,3468
Norte Shopping,3150
Novo Shopping Ribeirão Preto,3054
Shopping Ibirapuera,2898
Ribeirão Shopping,2681
Shopping Center Interlagos,2332
Shopping Morumbi,2078
Shopping Iguatemi Fortaleza,2071
Bourbon Shopping SP,1876
Passei das Águas Shopping,1657
Shopping Midway Mall,1587
