ID Loja,Valor Final
Ribeirão Shopping,7800
Shopping Ibirapuera,7345
Shopping Vila Velha,6719
Shopping Eldorado,6516
Palladium Shopping Curitiba,6467
Iguatemi Campinas,6399
Norte Shopping,6189
Shopping Barra,6033
Parque Dom Pedro Shopping,5682
Shopping Center Interlagos,5568
Salvador Shopping,5365
Novo Shopping Ribeirão Preto,4747
Rio Mar Recife,4637
Shopping Iguatemi Fortaleza,4600
Shopping União de Osasco,4280
Passei das Águas Shopping,4226
Shopping Recife,4192
Bourbon Shopping SP,3731
Shopping Midway Mall,3713
Shopping Morumbi,3578
Shopping Center Leste Aricanduva,3449
Iguatemi Esplanada,2510
Center Shopping Uberlândia,2250
Rio Mar Shopping Fortaleza,1500
Shopping SP Market,496
