ID Loja,Valor Final
Shopping Vila Velha,8575
Shopping SP Market,8476
Iguatemi Campinas,7660
Shopping Recife,6555
Shopping Center Interlagos,6493
Norte Shopping,6253
Salvador Shopping,5781
Passei das Águas Shopping,5724
Rio Mar Shopping Fortaleza,5185
Shopping Midway Mall,4951
Shopping União de Osasco,4915
Shopping Eldorado,4579
Palladium Shopping Curitiba,4390
Parque Dom Pedro Shopping,4171
Shopping Ibirapuera,3706
Shopping Iguatemi Fortaleza,3595
Shopping Barra,3397
Shopping Morumbi,3219
Novo Shopping Ribeirão Preto,3103
Center Shopping Uberlândia,2968
Rio Mar Recife,2857
Iguatemi Esplanada,2712
Ribeirão Shopping,2673
Bourbon Shopping SP,1783
Shopping Center Leste Aricanduva,842
