ID Loja,Valor Final
Center Shopping Uberlândia,12010
Ribeirão Shopping,9872
Shopping Ibirapuera,8026
Passei das Águas Shopping,7868
Shopping Vila Velha,7507
Shopping União de Osasco,7453
Iguatemi Campinas,7160
Salvador Shopping,6375
Shopping SP Market,5522
Shopping Morumbi,5486
Shopping Midway Mall,5421
Norte Shopping,5259
Novo Shopping Ribeirão Preto,4316
Rio Mar Recife,3954
Shopping Recife,3882
Shopping Barra,3860
Iguatemi Esplanada,3743
Shopping Iguatemi Fortaleza,3609
Shopping Eldorado,3356
Bourbon Shopping SP,3267
Shopping Center Leste Aricanduva,3209
Shopping Center Interlagos,2559
Rio Mar Shopping Fortaleza,2313
Palladium Shopping Curitiba,1973
Parque Dom Pedro Shopping,676
