ID Loja,Valor Final
Palladium Shopping Curitiba,9809
Shopping SP Market,9541
Shopping Center Leste Aricanduva,9094
Bourbon Shopping SP,8637
Rio Mar Recife,7647
Iguatemi Campinas,6582
Novo Shopping Ribeirão Preto,6536
Shopping Midway Mall,5708
Ribeirão Shopping,5074
Shopping Barra,4685
Parque Dom Pedro Shopping,4326
Center Shopping Uberlândia,4112
Shopping Morumbi,4069
Shopping União de Osasco,3833
Shopping Iguatemi Fortaleza,3665
Shopping Center Interlagos,3626
Shopping Eldorado,3610
Shopping Ibirapuera,2619
Salvador Shopping,2532
Shopping Vila Velha,2470
Norte Shopping,1969
Passei das Águas Shopping,1865
Shopping Recife,1819
Iguatemi Esplanada,1429
Rio Mar Shopping Fortaleza,574
