ID Loja,Valor Final
Shopping Iguatemi Fortaleza,9396
Shopping Recife,8769
Shopping Vila Velha,8083
Shopping Morumbi,6394
Shopping Eldorado,6359
Passei das Águas Shopping,6141
Shopping Center Leste Aricanduva,6021
Shopping Ibirapuera,5807
Norte Shopping,5564
Shopping Center Interlagos,5458
Ribeirão Shopping,5285
Shopping Midway Mall,5228
Shopping SP Market,5195
Iguatemi Campinas,5175
Iguatemi Esplanada,5090
Palladium Shopping Curitiba,4430
Novo Shopping Ribeirão Preto,3556
Bourbon Shopping SP,3417
Parque Dom Pedro Shopping,3404
Salvador Shopping,2710
Shopping União de Osasco,2340
Center Shopping Uberlândia,2066
Rio Mar Recife,814
Rio Mar Shopping Fortaleza,754
Shopping Barra,541
