ID Loja,Valor Final
Shopping União de Osasco,10696
Shopping Midway Mall,9605
Bourbon Shopping SP,8841
Shopping SP Market,7876
Iguatemi Esplanada,7598
Shopping Vila Velha,7406
Center Shopping Uberlândia,7374
Rio Mar Shopping Fortaleza,6498
Salvador Shopping,6250
Shopping Recife,5919
Passei das Águas Shopping,4921
Shopping Eldorado,4624
Parque Dom Pedro Shopping,4266
Shopping Iguatemi Fortaleza,4248
Shopping Center Interlagos,4222
Iguatemi Campinas,4176
Rio Mar Recife,4042
Ribeirão Shopping,3732
Shopping Morumbi,3709
Shopping Barra,3379
Shopping Center Leste Aricanduva,3360
Palladium Shopping Curitiba,2726
Norte Shopping,2256
Shopping Ibirapuera,1155
Novo Shopping Ribeirão Preto,1005
