ID Loja,Valor Final
Parque Dom Pedro Shopping,9321
Shopping Ibirapuera,9174
Norte Shopping,8617
Shopping União de Osasco,8304
Rio Mar Recife,7098
Shopping Eldorado,6735
Shopping SP Market,6031
Novo Shopping Ribeirão Preto,6010
Shopping Vila Velha,6008
Shopping Center Leste Aricanduva,5697
Shopping Recife,5527
Passei das Águas Shopping,5428
Iguatemi Esplanada,5083
Bourbon Shopping SP,4774
Center Shopping Uberlândia,4479
Shopping Iguatemi Fortaleza,4432
Shopping Midway Mall,4408
Shopping Center Interlagos,3717
Shopping Barra,3642
Iguatemi Campinas,3250
Ribeirão Shopping,2560
Rio Mar Shopping Fortaleza,1543
Salvador Shopping,834
Palladium Shopping Curitiba,656
