ID Loja,Valor Final
Center Shopping Uberlândia,12568
Shopping União de Osasco,11449
Passei das Águas Shopping,7819
Shopping Vila Velha,7538
Novo Shopping Ribeirão Preto,6761
Shopping Center Interlagos,6182
Bourbon Shopping SP,5812
Salvador Shopping,5685
Norte Shopping,5564
Shopping Ibirapuera,4894
Iguatemi Esplanada,4294
Rio Mar Recife,4066
Shopping Morumbi,4037
Ribeirão Shopping,3996
Shopping Midway Mall,3991
Rio Mar Shopping Fortaleza,3735
Palladium Shopping Curitiba,3631
Parque Dom Pedro Shopping,3526
Shopping Barra,3184
Shopping Recife,3003
Iguatemi Campinas,2247
Shopping Center Leste Aricanduva,2148
Shopping Eldorado,1317
Shopping SP Market,1247
Shopping Iguatemi Fortaleza,937
