ID Loja,Valor Final
Rio Mar Recife,11771
Iguatemi Esplanada,8746
Shopping Eldorado,8633
Ribeirão Shopping,8399
Shopping Center Leste Aricanduva,7833
Iguatemi Campinas,7690
Shopping SP Market,6193
Center Shopping Uberlândia,5552
Novo Shopping Ribeirão Preto,4695
Shopping Ibirapuera,4653
Shopping Center Interlagos,4532
Shopping Midway Mall,4289
Shopping Iguatemi Fortaleza,4186
Passei das Águas Shopping,4081
Bourbon Shopping SP,4034
Palladium Shopping Curitiba,3833
Shopping Barra,3370
Parque Dom Pedro Shopping,3043
Salvador Shopping,2126
Rio Mar Shopping Fortaleza,2114
Shopping Vila Velha,1824
Norte Shopping,1798
Shopping Morumbi,1740
Shopping Recife,1358
Shopping União de Osasco,200
