ID Loja,Valor Final
Bourbon Shopping SP,7815
Shopping Barra,7370
Shopping Iguatemi Fortaleza,6485
Shopping Center Leste Aricanduva,6245
Shopping Eldorado,5959
Shopping Vila Velha,5534
Iguatemi Esplanada,5124
Shopping União de Osasco,5086
Norte Shopping,5010
Shopping Ibirapuera,4727
Salvador Shopping,4711
Center Shopping Uberlândia,4605
Palladium Shopping Curitiba,4376
Iguatemi Campinas,4067
Shopping SP Market,3982
Shopping Morumbi,3701
Parque Dom Pedro Shopping,3546
Rio Mar Recife,3504
Ribeirão Shopping,3445
Novo Shopping Ribeirão Preto,3030
Shopping Midway Mall,2887
Shopping Center Interlagos,2430
Rio Mar Shopping Fortaleza,2222
Passei das Águas Shopping,2052
Shopping Recife,1267
