ID Loja,Valor Final
Shopping Eldorado,11914
Shopping Midway Mall,7797
Parque Dom Pedro Shopping,7635
Novo Shopping Ribeirão Preto,7461
Rio Mar Shopping Fortaleza,7417
Shopping Recife,6667
Ribeirão Shopping,6665
Norte Shopping,6370
Shopping Barra,5802
Rio Mar Recife,5335
Passei das Águas Shopping,5187
Shopping União de Osasco,5131
Salvador Shopping,4639
Shopping Ibirapuera,4468
Shopping Morumbi,4250
Shopping SP Market,4086
Shopping Center Leste Aricanduva,3811
Shopping Center Interlagos,3278
Center Shopping Uberlândia,3155
Iguatemi Esplanada,3059
Iguatemi Campinas,3052
Bourbon Shopping SP,2572
Shopping Vila Velha,2365
Shopping Iguatemi Fortaleza,2065
Palladium Shopping Curitiba,165
