ID Loja,Valor Final
Novo Shopping Ribeirão Preto,9779
Center Shopping Uberlândia,8918
Rio Mar Recife,7667
Shopping Midway Mall,7353
Ribeirão Shopping,7137
Shopping Barra,6992
Bourbon Shopping SP,6878
Shopping Ibirapuera,6602
Iguatemi Campinas,6567
Shopping Center Leste Aricanduva,6207
Norte Shopping,5527
Passei das Águas Shopping,5436
Rio Mar Shopping Fortaleza,5389
Shopping Morumbi,5381
Shopping Vila Velha,5302
Shopping Eldorado,4448
Shopping Center Interlagos,3342
Iguatemi Esplanada,3279
Salvador Shopping,3142
Parque Dom Pedro Shopping,2196
Shopping SP Market,2095
Shopping Iguatemi Fortaleza,1990
Shopping Recife,1863
Palladium Shopping Curitiba,1337
Shopping União de Osasco,279
