ID Loja,Valor Final
Rio Mar Recife,11505
Center Shopping Uberlândia,10284
Palladium Shopping Curitiba,10241
Norte Shopping,6903
Shopping Recife,6466
Shopping Barra,6248
Shopping Vila Velha,6018
Novo Shopping Ribeirão Preto,5998
Bourbon Shopping SP,5890
Parque Dom Pedro Shopping,5847
Shopping Iguatemi Fortaleza,5594
Ribeirão Shopping,5555
Shopping SP Market,4626
Shopping Ibirapuera,4299
Shopping União de Osasco,3942
Shopping Midway Mall,3811
Shopping Morumbi,3729
Passei das Águas Shopping,3030
Shopping Eldorado,2884
Iguatemi Esplanada,2577
Rio Mar Shopping Fortaleza,2394
Salvador Shopping,2040
Shopping Center Leste Aricanduva,1459
Shopping Center Interlagos,1152
Iguatemi Campinas,1132
