ID Loja,Valor Final
Shopping Center Interlagos,12149
Shopping Eldorado,8580
Iguatemi Esplanada,7840
Shopping Morumbi,6522
Shopping Vila Velha,6043
Shopping Midway Mall,5943
Iguatemi Campinas,5565
Shopping Iguatemi Fortaleza,5417
Parque Dom Pedro Shopping,4957
Rio Mar Recife,4801
Center Shopping Uberlândia,4759
Palladium Shopping Curitiba,4591
Ribeirão Shopping,4063
Shopping Center Leste Aricanduva,3923
Bourbon Shopping SP,3830
Shopping Recife,3769
Passei das Águas Shopping,3502
Shopping União de Osasco,3218
Shopping Ibirapuera,2750
Salvador Shopping,2717
Novo Shopping Ribeirão Preto,2714
Norte Shopping,2438
Rio Mar Shopping Fortaleza,2285
Shopping Barra,2202
Shopping SP Market,1935
