ID Loja,Valor Final
Shopping Center Leste Aricanduva,9485
Iguatemi Campinas,9024
Shopping Eldorado,8494
Shopping Vila Velha,7993
Novo Shopping Ribeirão Preto,7958
Iguatemi Esplanada,7209
Passei das Águas Shopping,6842
Shopping Midway Mall,5883
Rio Mar Shopping Fortaleza,5388
Shopping Barra,5381
Rio Mar Recife,5034
Shopping União de Osasco,4918
Palladium Shopping Curitiba,4726
Parque Dom Pedro Shopping,4223
Shopping SP Market,3644
Bourbon Shopping SP,3619
Ribeirão Shopping,3434
Shopping Morumbi,3031
Shopping Recife,2575
Salvador Shopping,2471
Center Shopping Uberlândia,2467
Shopping Ibirapuera,2305
Shopping Iguatemi Fortaleza,1553
Norte Shopping,680
Shopping Center Interlagos,617
