ID Loja,Valor Final
Parque Dom Pedro Shopping,11023
Iguatemi Campinas,10908
Shopping Recife,8145
Palladium Shopping Curitiba,7880
Shopping Morumbi,7356
Shopping União de Osasco,6765
Shopping Center Interlagos,6310
Ribeirão Shopping,5696
Shopping Vila Velha,5332
Shopping Barra,5264
Bourbon Shopping SP,5118
Shopping Midway Mall,5087
Iguatemi Esplanada,5040
Shopping SP Market,4233
Rio Mar Shopping Fortaleza,3867
Rio Mar Recife,3799
Shopping Ibirapuera,3272
Norte Shopping,2729
Passei das Águas Shopping,2601
Shopping Center Leste Aricanduva,2517
Center Shopping Uberlândia,2072
Shopping Iguatemi Fortaleza,1399
Novo Shopping Ribeirão Preto,585
Shopping Eldorado,332
