ID Loja,Valor Final
Iguatemi Campinas,13234
Rio Mar Shopping Fortaleza,9539
Bourbon Shopping SP,8448
Shopping Barra,6820
Passei das Águas Shopping,6745
Palladium Shopping Curitiba,6597
Ribeirão Shopping,6503
Shopping Morumbi,6075
Shopping Midway Mall,5596
Shopping Center Interlagos,5557
Salvador Shopping,4975
Novo Shopping Ribeirão Preto,4966
Norte Shopping,4160
Shopping Eldorado,3884
Iguatemi Esplanada,3512
Shopping União de Osasco,2579
Shopping Center Leste Aricanduva,2365
Rio Mar Recife,2350
Parque Dom Pedro Shopping,2284
Shopping Recife,2225
Center Shopping Uberlândia,2208
Shopping Vila Velha,1896
Shopping Ibirapuera,1455
Shopping SP Market,1203
Shopping Iguatemi Fortaleza,420
