ID Loja,Valor Final
Shopping SP Market,12300
Shopping União de Osasco,10600
Shopping Ibirapuera,9075
Ribeirão Shopping,8776
Norte Shopping,7929
Bourbon Shopping SP,7742
Iguatemi Esplanada,6254
Novo Shopping Ribeirão Preto,5970
Shopping Center Interlagos,5962
Shopping Iguatemi Fortaleza,5687
Salvador Shopping,5394
Shopping Morumbi,4988
Palladium Shopping Curitiba,4636
Shopping Vila Velha,4572
Shopping Recife,3926
Parque Dom Pedro Shopping,2921
Center Shopping Uberlândia,2608
Shopping Midway Mall,2594
Rio Mar Recife,2593
Shopping Eldorado,2262
Shopping Center Leste Aricanduva,2255
Rio Mar Shopping Fortaleza,2078
Passei das Águas Shopping,2027
Shopping Barra,1265
Iguatemi Campinas,432
