ID Loja,Valor Final
Shopping Eldorado,11665
Novo Shopping Ribeirão Preto,10902
Shopping Center Leste Aricanduva,9459
Iguatemi Campinas,7292
Norte Shopping,7122
Bourbon Shopping SP,7009
Shopping Midway Mall,6569
Iguatemi Esplanada,6539
Ribeirão Shopping,5692
Salvador Shopping,5361
Shopping Iguatemi Fortaleza,4990
Shopping Vila Velha,4919
Center Shopping Uberlândia,4878
Shopping União de Osasco,4571
Shopping Morumbi,4481
Rio Mar Shopping Fortaleza,4384
Shopping Recife,4365
Palladium Shopping Curitiba,4114
Shopping Ibirapuera,3890
Shopping SP Market,3824
Passei das Águas Shopping,3665
Shopping Center Interlagos,2465
Parque Dom Pedro Shopping,2269
Shopping Barra,1014
Rio Mar Recife,456
