ID Loja,Valor Final
Novo Shopping Ribeirão Preto,10347
Shopping Midway Mall,10189
Palladium Shopping Curitiba,9647
Iguatemi Esplanada,9129
Passei das Águas Shopping,8711
Shopping Iguatemi Fortaleza,8256
Shopping SP Market,8134
Shopping Center Interlagos,6385
Shopping Center Leste Aricanduva,5301
Rio Mar Recife,5261
Salvador Shopping,5182
Shopping Barra,4935
Iguatemi Campinas,4750
Shopping Ibirapuera,4658
Shopping União de Osasco,4526
Parque Dom Pedro Shopping,4496
Center Shopping Uberlândia,3650
Shopping Eldorado,3259
Ribeirão Shopping,2857
Norte Shopping,2421
Shopping Vila Velha,2182
Shopping Morumbi,1854
Bourbon Shopping SP,1710
Rio Mar Shopping Fortaleza,1081
Shopping Recife,1013
