ID Loja,Valor Final
Center Shopping Uberlândia,10609
Shopping Vila Velha,9637
Iguatemi Esplanada,8297
Parque Dom Pedro Shopping,6346
Shopping SP Market,5813
Shopping Eldorado,5557
Shopping Center Interlagos,5479
Shopping Morumbi,5239
Passei das Águas Shopping,5091
Shopping Recife,4687
Norte Shopping,3928
Salvador Shopping,3848
Shopping Midway Mall,3810
Shopping Ibirapuera,3808
Palladium Shopping Curitiba,3766
Iguatemi Campinas,3761
Rio Mar Shopping Fortaleza,3519
Shopping União de Osasco,3203
Shopping Barra,2901
Rio Mar Recife,2866
Bourbon Shopping SP,2785
Shopping Center Leste Aricanduva,1588
Ribeirão Shopping,1314
Shopping Iguatemi Fortaleza,1018
