ID Loja,Valor Final
Ribeirão Shopping,9859
Novo Shopping Ribeirão Preto,7888
Iguatemi Campinas,7718
Iguatemi Esplanada,6383
Shopping Center Interlagos,6273
Shopping Ibirapuera,5660
Shopping Iguatemi Fortaleza,5615
Bourbon Shopping SP,5611
Parque Dom Pedro Shopping,5123
Shopping Barra,4842
Shopping Morumbi,4832
Palladium Shopping Curitiba,4698
Rio Mar Recife,4182
Shopping Vila Velha,3889
Norte Shopping,3331
Rio Mar Shopping Fortaleza,3148
Shopping União de Osasco,3073
Shopping Eldorado,3032
Salvador Shopping,2666
Passei das Águas Shopping,2665
Shopping SP Market,2492
Center Shopping Uberlândia,1549
Shopping Midway Mall,1469
Shopping Recife,1200
Shopping Center Leste Aricanduva,801
