ID Loja,Valor Final
Shopping Center Leste Aricanduva,11499
Iguatemi Esplanada,11073
Shopping Iguatemi Fortaleza,8388
Rio Mar Recife,8239
Shopping Vila Velha,7246
Shopping SP Market,6840
Shopping Eldorado,6064
Iguatemi Campinas,5873
Shopping União de Osasco,5079
Salvador Shopping,4726
Ribeirão Shopping,4682
Shopping Ibirapuera,4530
Norte Shopping,4280
Passei das Águas Shopping,4056
Shopping Recife,3777
Center Shopping Uberlândia,3589
Palladium Shopping Curitiba,3582
Novo Shopping Ribeirão Preto,3158
Shopping Morumbi,3006
Rio Mar Shopping Fortaleza,2990
Shopping Barra,2571
Shopping Midway Mall,2064
Bourbon Shopping SP,1419
Shopping Center Interlagos,1044
Parque Dom Pedro Shopping,910
