ID Loja,Valor Final
Iguatemi Esplanada,7882
Shopping Midway Mall,7221
Iguatemi Campinas,7215
Shopping Center Leste Aricanduva,6667
Shopping Center Interlagos,6426
Shopping SP Market,6328
Novo Shopping Ribeirão Preto,6037
Shopping União de Osasco,5729
Palladium Shopping Curitiba,5149
Bourbon Shopping SP,5014
Shopping Iguatemi Fortaleza,4952
Shopping Morumbi,4659
Shopping Recife,4577
Shopping Eldorado,4562
Salvador Shopping,4120
Center Shopping Uberlândia,3975
Rio Mar Recife,3925
Norte Shopping,3675
Rio Mar Shopping Fortaleza,3530
Shopping Barra,3041
Shopping Vila Velha,2957
Shopping Ibirapuera,2618
Parque Dom Pedro Shopping,2146
Ribeirão Shopping,1742
Passei das Águas Shopping,1460
