ID Loja,Valor Final
Shopping Recife,11349
Parque Dom Pedro Shopping,10365
Shopping Ibirapuera,9619
Shopping União de Osasco,7726
Iguatemi Campinas,7501
Shopping Eldorado,7041
Ribeirão Shopping,6400
Shopping Morumbi,5852
Center Shopping Uberlândia,5530
Salvador Shopping,4698
Shopping Iguatemi Fortaleza,4581
Rio Mar Recife,4472
Bourbon Shopping SP,4408
Shopping Barra,3890
Novo Shopping Ribeirão Preto,3861
Shopping Vila Velha,3737
Passei das Águas Shopping,3394
Shopping Center Interlagos,3284
Palladium Shopping Curitiba,3117
Shopping SP Market,3044
Shopping Midway Mall,3020
Rio Mar Shopping Fortaleza,2820
Shopping Center Leste Aricanduva,2566
Norte Shopping,2482
Iguatemi Esplanada,959
