ID Loja,Valor Final
Salvador Shopping,12893
Passei das Águas Shopping,8855
Shopping Center Leste Aricanduva,7429
Iguatemi Campinas,7019
Shopping Eldorado,6810
Bourbon Shopping SP,6725
Center Shopping Uberlândia,6626
Norte Shopping,6508
Shopping Iguatemi Fortaleza,6311
Rio Mar Recife,5225
Ribeirão Shopping,5208
Shopping Center Interlagos,4897
Shopping Vila Velha,4775
Shopping Morumbi,4706
Novo Shopping Ribeirão Preto,4334
Shopping Ibirapuera,3795
Iguatemi Esplanada,3527
Shopping Recife,2930
Parque Dom Pedro Shopping,2642
Shopping SP Market,2376
Shopping Midway Mall,1932
Shopping Barra,1840
Palladium Shopping Curitiba,1189
Rio Mar Shopping Fortaleza,1031
Shopping União de Osasco,970
