ID Loja,Valor Final
Bourbon Shopping SP,12254
Shopping Iguatemi Fortaleza,8618
Shopping Recife,7404
Shopping SP Market,7332
Rio Mar Shopping Fortaleza,7176
Ribeirão Shopping,7154
Shopping Center Leste Aricanduva,6446
Iguatemi Esplanada,6006
Shopping União de Osasco,5758
Shopping Vila Velha,5373
Salvador Shopping,5238
Center Shopping Uberlândia,5134
Shopping Barra,5001
Norte Shopping,4664
Parque Dom Pedro Shopping,4551
Novo Shopping Ribeirão Preto,4390
Palladium Shopping Curitiba,3034
Iguatemi Campinas,2974
Shopping Eldorado,2969
Shopping Midway Mall,2500
Passei das Águas Shopping,2359
Shopping Morumbi,2066
Rio Mar Recife,2063
Shopping Ibirapuera,1680
Shopping Center Interlagos,1678
