ID Loja,Valor Final
Salvador Shopping,10003
Rio Mar Shopping Fortaleza,9260
Shopping Midway Mall,8337
Shopping Center Leste Aricanduva,7247
Norte Shopping,6818
Ribeirão Shopping,6375
Shopping Eldorado,5066
Shopping Ibirapuera,5001
Shopping Morumbi,5000
Shopping SP Market,4868
Iguatemi Esplanada,4384
Shopping Barra,4064
Shopping Vila Velha,3698
Bourbon Shopping SP,3550
Shopping Center Interlagos,3538
Iguatemi Campinas,3254
Passei das Águas Shopping,2874
Center Shopping Uberlândia,2724
Parque Dom Pedro Shopping,2410
Palladium Shopping Curitiba,2112
Shopping Iguatemi Fortaleza,1854
Rio Mar Recife,1751
Novo Shopping Ribeirão Preto,1699
Shopping Recife,1076
Shopping União de Osasco,972
