ID Loja,Valor Final
Passei das Águas Shopping,8993
Shopping Midway Mall,8035
Iguatemi Esplanada,7831
Shopping Center Interlagos,7756
Shopping União de Osasco,7389
Bourbon Shopping SP,6758
Shopping Iguatemi Fortaleza,6521
Shopping SP Market,6323
Salvador Shopping,6095
Rio Mar Recife,5882
Shopping Vila Velha,5522
Rio Mar Shopping Fortaleza,5493
Shopping Barra,4973
Shopping Ibirapuera,4903
Shopping Center Leste Aricanduva,4863
Center Shopping Uberlândia,4600
Ribeirão Shopping,4213
Palladium Shopping Curitiba,3922
Shopping Eldorado,3914
Iguatemi Campinas,2638
Shopping Morumbi,2628
Norte Shopping,1170
Parque Dom Pedro Shopping,1064
Shopping Recife,1040
Novo Shopping Ribeirão Preto,645
