ID Loja,Valor Final
Shopping Center Interlagos,9097
Shopping Center Leste Aricanduva,8935
Iguatemi Campinas,8908
Shopping Vila Velha,7579
Parque Dom Pedro Shopping,7549
Passei das Águas Shopping,7542
Salvador Shopping,6058
Center Shopping Uberlândia,5958
Rio Mar Shopping Fortaleza,5752
Ribeirão Shopping,5012
Shopping Midway Mall,4843
Shopping Morumbi,4730
Iguatemi Esplanada,4412
Shopping SP Market,4227
Shopping Recife,3470
Palladium Shopping Curitiba,3152
Shopping Barra,2853
Shopping Iguatemi Fortaleza,2757
Rio Mar Recife,2743
Bourbon Shopping SP,2113
Norte Shopping,2084
Shopping União de Osasco,1893
Shopping Eldorado,1887
Novo Shopping Ribeirão Preto,1749
Shopping Ibirapuera,858
