ID Loja,Valor Final
Rio Mar Recife,10174
Shopping Recife,9690
Shopping Ibirapuera,9132
Iguatemi Campinas,8758
Novo Shopping Ribeirão Preto,6350
Shopping Morumbi,6312
Bourbon Shopping SP,5427
Rio Mar Shopping Fortaleza,5241
Palladium Shopping Curitiba,4861
Shopping Center Leste Aricanduva,4521
Shopping Vila Velha,4205
Shopping Barra,3785
Shopping Eldorado,3716
Shopping Iguatemi Fortaleza,3151
Iguatemi Esplanada,2995
Ribeirão Shopping,2870
Shopping União de Osasco,2475
Shopping SP Market,2460
Salvador Shopping,2329
Norte Shopping,2247
Center Shopping Uberlândia,2068
Passei das Águas Shopping,1981
Shopping Center Interlagos,1957
Parque Dom Pedro Shopping,1876
Shopping Midway Mall,1458
