ID Loja,Valor Final
Shopping Eldorado,13137
Shopping Recife,9294
Ribeirão Shopping,8794
Shopping Morumbi,7508
Rio Mar Recife,5647
Salvador Shopping,5601
Shopping Iguatemi Fortaleza,5580
Shopping Ibirapuera,5395
Iguatemi Campinas,5287
Novo Shopping Ribeirão Preto,5282
Palladium Shopping Curitiba,5174
Bourbon Shopping SP,5063
Shopping Center Leste Aricanduva,5007
Shopping Barra,4082
Center Shopping Uberlândia,4037
Passei das Águas Shopping,3854
Iguatemi Esplanada,3606
Parque Dom Pedro Shopping,3591
Norte Shopping,3502
Shopping Center Interlagos,3469
Shopping Vila Velha,2410
Shopping União de Osasco,2092
Rio Mar Shopping Fortaleza,2041
Shopping Midway Mall,1513
Shopping SP Market,513
